error_prob,n_repetitions,agent_name,reward
0.0,1,Always3,203.03999999999996
0.0,1,Always3,202.55999999999995
0.0,1,Always3,203.27999999999997
0.0,1,Always3,203.30999999999997
0.0,1,UniformRandom,70.64000000000001
0.0,1,UniformRandom,71.00000000000001
0.0,1,UniformRandom,69.69000000000001
0.0,1,UniformRandom,70.50000000000001
0.0,1,Focal5,206.01999999999995
0.0,1,Focal5,206.23999999999995
0.0,1,Focal5,206.41999999999993
0.0,1,Focal5,205.50999999999993
0.0,1,Focal5,168.26
0.0,1,Focal5,168.43999999999997
0.0,1,Focal5,168.54
0.0,1,Focal5,168.46999999999997
0.0,1,TitForTat,156.12000000000006
0.0,1,TitForTat,155.62000000000006
0.0,1,TitForTat,155.40000000000003
0.0,1,TitForTat,156.02000000000007
0.0,1,CastigadorInfernal,207.33000000000018
0.0,1,CastigadorInfernal,206.99000000000012
0.0,1,CastigadorInfernal,206.85000000000014
0.0,1,CastigadorInfernal,207.12000000000015
0.0,1,Deterministic_simpletron_optimist_notTfT,171.50999999999993
0.0,1,Deterministic_simpletron_optimist_notTfT,171.52999999999992
0.0,1,Deterministic_simpletron_optimist_notTfT,171.31999999999996
0.0,1,Deterministic_simpletron_optimist_notTfT,171.44999999999993
0.0,1,Deterministic_simpletron_pesimist_notTfT,99.83000000000001
0.0,1,Deterministic_simpletron_pesimist_notTfT,98.81
0.0,1,Deterministic_simpletron_pesimist_notTfT,98.86000000000001
0.0,1,Deterministic_simpletron_pesimist_notTfT,98.67000000000003
0.0,1,Deterministic_simpletron_optimist_TfT,154.85
0.0,1,Deterministic_simpletron_optimist_TfT,154.96
0.0,1,Deterministic_simpletron_optimist_TfT,154.96
0.0,1,Deterministic_simpletron_optimist_TfT,154.9
0.0,1,Permisive_TFT_patience_3,154.93999999999994
0.0,1,Permisive_TFT_patience_3,155.46999999999997
0.0,1,Permisive_TFT_patience_3,154.80999999999995
0.0,1,Permisive_TFT_patience_3,155.16999999999996
0.0,1,Permisive_TFT_patience_5,155.08999999999995
0.0,1,Permisive_TFT_patience_5,155.17999999999995
0.0,1,Permisive_TFT_patience_5,155.10999999999996
0.0,1,Permisive_TFT_patience_5,154.70999999999998
0.0,1,Permisive_TFT_patience_10,155.56999999999996
0.0,1,Permisive_TFT_patience_10,155.49999999999994
0.0,1,Permisive_TFT_patience_10,155.23999999999995
0.0,1,Permisive_TFT_patience_10,155.39999999999998
0.0,1,GrimTrigger,202.94999999999996
0.0,1,GrimTrigger,203.99999999999997
0.0,1,GrimTrigger,202.73999999999995
0.0,1,GrimTrigger,203.39999999999998
0.0,1,GenerousTitForTat_generous_p_0.1,158.53000000000006
0.0,1,GenerousTitForTat_generous_p_0.1,158.33
0.0,1,GenerousTitForTat_generous_p_0.1,158.44
0.0,1,GenerousTitForTat_generous_p_0.1,157.98999999999995
0.0,1,GenerousTitForTat_generous_p_0.25,158.63
0.0,1,GenerousTitForTat_generous_p_0.25,159.54999999999998
0.0,1,GenerousTitForTat_generous_p_0.25,159.29000000000002
0.0,1,GenerousTitForTat_generous_p_0.25,159.35999999999999
0.0,1,GenerousTitForTat_generous_p_0.5,160.67000000000002
0.0,1,GenerousTitForTat_generous_p_0.5,160.10000000000002
0.0,1,GenerousTitForTat_generous_p_0.5,160.37000000000003
0.0,1,GenerousTitForTat_generous_p_0.5,160.15999999999997
0.0,1,GenerousTitForTat_generous_p_0.75,161.92
0.0,1,GenerousTitForTat_generous_p_0.75,161.9
0.0,1,GenerousTitForTat_generous_p_0.75,162.04999999999998
0.0,1,GenerousTitForTat_generous_p_0.75,162.01
0.0,1,ContriteTitForTat,161.46
0.0,1,ContriteTitForTat,161.68999999999997
0.0,1,ContriteTitForTat,161.47
0.0,1,ContriteTitForTat,161.25999999999996
0.0,1,AdaptivePavlov_deterministic,167.42999999999998
0.0,1,AdaptivePavlov_deterministic,167.24999999999997
0.0,1,AdaptivePavlov_deterministic,167.53999999999996
0.0,1,AdaptivePavlov_deterministic,167.4
0.0,1,AdaptivePavlov_random,163.28000000000003
0.0,1,AdaptivePavlov_random,163.32000000000002
0.0,1,AdaptivePavlov_random,163.18
0.0,1,AdaptivePavlov_random,163.28
0.0,1,Detective,160.32999999999996
0.0,1,Detective,160.23999999999992
0.0,1,Detective,160.17999999999995
0.0,1,Detective,160.18999999999994
0.05,1,Always3,175.29000000000005
0.05,1,Always3,177.52999999999994
0.05,1,Always3,177.52
0.05,1,Always3,173.30999999999997
0.05,1,UniformRandom,68.79
0.05,1,UniformRandom,71.14000000000001
0.05,1,UniformRandom,69.61
0.05,1,UniformRandom,68.98000000000002
0.05,1,Focal5,187.1200000000001
0.05,1,Focal5,186.9700000000001
0.05,1,Focal5,188.32000000000002
0.05,1,Focal5,189.84999999999997
0.05,1,Focal5,163.21999999999997
0.05,1,Focal5,165.05000000000004
0.05,1,TitForTat,135.34000000000003
0.05,1,TitForTat,135.80999999999992
0.05,1,TitForTat,136.85999999999996
0.05,1,TitForTat,140.79000000000002
0.05,1,CastigadorInfernal,189.29000000000002
0.05,1,CastigadorInfernal,188.74000000000004
0.05,1,CastigadorInfernal,187.45999999999995
0.05,1,CastigadorInfernal,188.77999999999994
0.05,1,CastigadorInfernal,163.81999999999996
0.05,1,CastigadorInfernal,163.40000000000003
0.05,1,Deterministic_simpletron_optimist_notTfT,164.85999999999999
0.05,1,Deterministic_simpletron_optimist_notTfT,169.51000000000005
0.05,1,Deterministic_simpletron_optimist_notTfT,170.19999999999993
0.05,1,Deterministic_simpletron_optimist_notTfT,171.32999999999996
0.05,1,Deterministic_simpletron_pesimist_notTfT,138.39000000000004
0.05,1,Deterministic_simpletron_pesimist_notTfT,139.23000000000005
0.05,1,Deterministic_simpletron_pesimist_notTfT,130.74
0.05,1,Deterministic_simpletron_pesimist_notTfT,131.54000000000002
0.05,1,Deterministic_simpletron_optimist_TfT,135.79000000000002
0.05,1,Deterministic_simpletron_optimist_TfT,143.98999999999998
0.05,1,Deterministic_simpletron_optimist_TfT,138.46
0.05,1,Deterministic_simpletron_optimist_TfT,137.13000000000002
0.05,1,Permisive_TFT_patience_3,146.28999999999996
0.05,1,Permisive_TFT_patience_3,147.42
0.05,1,Permisive_TFT_patience_3,146.07000000000005
0.05,1,Permisive_TFT_patience_3,146.17000000000004
0.05,1,Permisive_TFT_patience_5,147.91999999999993
0.05,1,Permisive_TFT_patience_5,152.51000000000002
0.05,1,Permisive_TFT_patience_5,150.40999999999997
0.05,1,Permisive_TFT_patience_5,150.1
0.05,1,Permisive_TFT_patience_10,153.08000000000004
0.05,1,Permisive_TFT_patience_10,152.12
0.05,1,Permisive_TFT_patience_10,154.60000000000002
0.05,1,Permisive_TFT_patience_10,150.73000000000002
0.05,1,GrimTrigger,123.53000000000002
0.05,1,GrimTrigger,115.02000000000004
0.05,1,GrimTrigger,113.05999999999999
0.05,1,GrimTrigger,115.64999999999999
0.05,1,GenerousTitForTat_generous_p_0.1,150.81000000000003
0.05,1,GenerousTitForTat_generous_p_0.1,143.45000000000007
0.05,1,GenerousTitForTat_generous_p_0.1,147.52999999999997
0.05,1,GenerousTitForTat_generous_p_0.1,150.32999999999998
0.05,1,GenerousTitForTat_generous_p_0.25,152.51000000000002
0.05,1,GenerousTitForTat_generous_p_0.25,149.79999999999993
0.05,1,GenerousTitForTat_generous_p_0.25,152.10999999999996
0.05,1,GenerousTitForTat_generous_p_0.25,150.1599999999999
0.05,1,GenerousTitForTat_generous_p_0.5,155.12999999999994
0.05,1,GenerousTitForTat_generous_p_0.5,154.73
0.05,1,GenerousTitForTat_generous_p_0.5,151.8
0.05,1,GenerousTitForTat_generous_p_0.5,154.68999999999994
0.05,1,GenerousTitForTat_generous_p_0.75,158.76999999999998
0.05,1,GenerousTitForTat_generous_p_0.75,158.49999999999997
0.05,1,GenerousTitForTat_generous_p_0.75,158.48
0.05,1,GenerousTitForTat_generous_p_0.75,157.73999999999998
0.05,1,ContriteTitForTat,154.6
0.05,1,ContriteTitForTat,154.25000000000009
0.05,1,ContriteTitForTat,155.19999999999993
0.05,1,ContriteTitForTat,154.29999999999998
0.05,1,AdaptivePavlov_deterministic,172.98000000000002
0.05,1,AdaptivePavlov_deterministic,173.48999999999992
0.05,1,AdaptivePavlov_deterministic,175.54999999999998
0.05,1,AdaptivePavlov_deterministic,173.6000000000001
0.05,1,AdaptivePavlov_random,173.12999999999994
0.05,1,AdaptivePavlov_random,171.41000000000008
0.05,1,AdaptivePavlov_random,171.63999999999996
0.05,1,AdaptivePavlov_random,170.28000000000003
0.05,1,Detective,159.43
0.05,1,Detective,159.25
0.05,1,Detective,159.41
0.05,1,Detective,158.42999999999992
